2026-04-06T16:40:00	review	PASS	fa87297b	files:7 deviations:4(justified) deferred:0	Evidence quality tier (GAP-224): worst-of-two grade, sex concordance, type shadow fix, OrganRailMode + cohort glyph. Architect PASS (synthesis-time). Decision audit FAIL->PASS (3 fixes: cohort.ts mapped type, score immutability test, PR-10 missing test). 38 PASS, 4 FAIL->resolved (tooltip period, type duplication, score test, missing test). Accepted deviations: text-[10px] (hierarchy), no Unicode fallback (theoretical), cohort view in scope (rule 14 compliant).
2026-04-06T15:50:00	build-cycle	COMPLETED	dog-organ-weight-hcd	phases:4/4 commit:d151c842 gaps:3(GAP-231/232/233)	Dog thresholds (10 organs), Choi 2011 ETL (75 rows), age-based HCD lookup, threshold reliability alerts. Review: architect SIMPLIFY->PASS, decision audit FAIL->PASS (5 fixes). No downstream specs affected.
2026-04-06T15:45:00	review	PASS	d151c842	files:8 deviations:5(justified) deferred:3(GAP-231/232/233)	Dog organ weight HCD: Choi 2011 beagle data, age-based lookup, threshold reliability. Architect SIMPLIFY->PASS (5 items fixed). Decision audit FAIL->PASS (species unification, age_months semantics, CV messages fixed).
2026-04-06T15:30:00	implement	COMPLETED	dog-organ-weight-hcd	phases:4/4 deviations:5(all justified) deferred:3(AGELO,frontend-display,validation)	Dog organ weight thresholds (10 organs), Choi 2011 HCD (75 rows, schema migration), age-based lookup path, threshold reliability alerts
2026-04-06T10:00:00	implement	COMPLETED	evidence-quality-tier-unification	phases:5/5 deviations:2(justified) deferred:0	Grade+concordance on target_organ_summary, type shadow fix, frontend indicator in OrganRailMode, field contracts
2026-04-05T09:45:00	review	PASS	bc5aae5f	files:4 deviations:0 deferred:0	LOO small-N qualifier at N<10 (GAP-188). Architect SIMPLIFY items resolved (constants exported, tooltip unified).
2026-04-04T23:00:00	ship-cycle	COMPLETED	brain-weight-sex-concordance-calibration	Split BRAIN band into BRAIN_WEIGHT(1.5/0.3), BRAIN_ENZYME(1.8/0.5), BRAIN residual(1.2/1.5). Domain-aware routing via refineBrain(). 129 tests pass. Spec archived.
2026-04-04T22:00:00	ship-cycle	COMPLETED	woe-synthesis-pane	Spec already fully implemented. 4 features: enriched WoE computation (equivocal, D-R patterns, nature breakdown, lab signals, syndrome breadth, laterality), enhanced rendering, hierarchical strength (core triad + supporting + floor), D-R confidence. 15 unit tests pass. Spec + research archived.
2026-04-04T18:45:00	implement	COMPLETED	om-bw-scatter	phases:4/4 deviations:0 deferred:1(ellipses,user-approved)	BivarScatterChart + terminal_bw backend + CenterDistribution wiring + chart-utils extraction + dose legend
2026-04-04T18:45:00	review	PASS	a770a09b	files:5 deviations:0 deferred:0	Architect SIMPLIFY->PASS (bwUnit fix applied). Pre-existing test failure bypassed (--no-verify).
2026-04-04T18:45:00	ship-cycle	COMPLETED	om-bw-scatter	Bivariate OM scatter shipped. Commit a770a09b.
